symbol,10DayAverageTradingVolume,13WeekPriceReturnDaily,26WeekPriceReturnDaily,3MonthAverageTradingVolume,52WeekHigh,52WeekHighDate,52WeekLow,52WeekLowDate,52WeekPriceReturnDaily,5DayPriceReturnDaily,assetTurnoverAnnual,assetTurnoverTTM,beta,bookValuePerShareAnnual,bookValuePerShareQuarterly,bookValueShareGrowth5Y,capitalSpendingGrowth5Y,cashFlowPerShareAnnual,cashFlowPerShareTTM,cashPerSharePerShareAnnual,cashPerSharePerShareQuarterly,currentDividendYieldTTM,currentEv/freeCashFlowAnnual,currentEv/freeCashFlowTTM,currentRatioAnnual,currentRatioQuarterly,dividendGrowthRate5Y,dividendPerShare5Y,dividendPerShareAnnual,dividendYield5Y,dividendYieldIndicatedAnnual,dividendsPerShareTTM,ebitdPerShareTTM,ebitdaCagr5Y,ebitdaInterimCagr5Y,epsBasicExclExtraItemsAnnual,epsBasicExclExtraItemsTTM,epsExclExtraItemsAnnual,epsExclExtraItemsTTM,epsGrowth3Y,epsGrowth5Y,epsGrowthQuarterlyYoy,epsGrowthTTMYoy,epsInclExtraItemsAnnual,epsInclExtraItemsTTM,epsNormalizedAnnual,focfCagr5Y,grossMargin5Y,grossMarginAnnual,grossMarginTTM,longTermDebt/equityAnnual,longTermDebt/equityQuarterly,marketCapitalization,monthToDatePriceReturnDaily,netIncomeEmployeeAnnual,netIncomeEmployeeTTM,netInterestCoverageAnnual,netInterestCoverageTTM,netMarginGrowth5Y,netProfitMargin5Y,netProfitMarginAnnual,netProfitMarginTTM,operatingMargin5Y,operatingMarginAnnual,operatingMarginTTM,payoutRatioAnnual,payoutRatioTTM,pbAnnual,pbQuarterly,pcfShareTTM,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraTTM,peInclExtraTTM,peNormalizedAnnual,pfcfShareAnnual,pfcfShareTTM,pretaxMargin5Y,pretaxMarginAnnual,pretaxMarginTTM,priceRelativeToS&P50013Week,priceRelativeToS&P50026Week,priceRelativeToS&P5004Week,priceRelativeToS&P500Ytd,psAnnual,psTTM,receivablesTurnoverAnnual,receivablesTurnoverTTM,revenueEmployeeAnnual,revenueEmployeeTTM,revenueGrowth3Y,revenueGrowth5Y,revenueGrowthQuarterlyYoy,revenueGrowthTTMYoy,revenuePerShareAnnual,revenuePerShareTTM,revenueShareGrowth5Y,roaRfy,roaa5Y,roae5Y,roaeTTM,roeRfy,roeTTM,roi5Y,roiAnnual,roiTTM,tangibleBookValuePerShareAnnual,tangibleBookValuePerShareQuarterly,totalDebt/totalEquityAnnual,totalDebt/totalEquityQuarterly,yearToDatePriceReturnDaily,update_date,quickRatioAnnual,ptbvAnnual,ptbvQuarterly,tbvCagr5Y,inventoryTurnoverAnnual,inventoryTurnoverTTM,cashFlowPerShareQuarterly,peAnnual,peTTM,quickRatioQuarterly,dividendPerShareTTM,ebitdPerShareAnnual,enterpriseValue,epsAnnual,epsTTM,pcfShareAnnual,roaTTM,capexCagr5Y,priceRelativeToS&P50052Week,roa5Y,roe5Y,3MonthADReturnStd
LBRDA,0.15703,18.6803,-2.8386,0.14032,121.59,2022-07-27,68.15,2022-12-20,-26.8654,0.8105,0.0644,0.0643,1.6069784,57.866,58.592,-0.03,,-1.6167,8.38562,2.558,0.9918,,12.37263,15.42738,0.394,1.5495,,,,,,,2.1961,,,7.9557,6.5799,7.9557,6.5799,131.52,-6.46,-73.47,18.48,7.9557,6.5799,7.9557,,,99.42,101.71,0.3097,0.4525,12948.666,9.87081,0.6616,0.5405,-1.2338,0.4254,-61.64,417.54,128.92,28.05,-294.04,7.9,-4.47,,,1.3321,1.3947,95.916,12.6082,11.01097,12.6082,12.6082,10.3012,374.672,58.2224,483.93,157.33,37.4,7.2515,-17.1384,8.1639,-1.8925,13.2807,13.1726,4.7912,5.416,0.5132,0.5174,302.97,136.78,3.36,0.36,6.1709,6.6871,143.9,8.3,,,,14.82,11.87,3.79,10.0,8.09,50.342,51.1158,0.482,0.463,16.4272,2023-07-28,0.3582,1.5312,1.5986,24.36,,,-2.1067,10.3012,12.6082,1.2389,,1.7025,16769.666,7.9557,6.5799,4316.222,6.72,381.41,-39.6945,3.2,5.35,35.838596
LLY,2.23778,18.2284,31.4734,2.88589,469.87,2023-06-30,296.32,2022-09-21,38.3201,-1.5258,0.5767,0.5618,0.33388877,11.2082,11.7885,1.24,,4.8416,7.90343,2.3278,3.8654,0.8491,97.2192,118.1475,1.0523,1.2999,13.27,,3.7144,,0.99342847,4.07,8.8495,18.04,1.63,6.9032,6.299300000000001,6.9032,6.299300000000001,-8.07,,-29.08,-6.52,6.9032,6.299300000000001,6.9032,5.91,77.13,76.77,76.63,1.3838,1.6872,431909.7,-1.47981,0.1601,0.1458,7.4983,11.0168,,23.83,21.88,19.32,21.93,24.97,21.47,56.62,64.49,33.9096,29.2264,68.3856,75.9495,66.93089,75.9495,75.9495,69.1631,93.8852,114.0958,23.15,23.85,21.98,6.7996,17.1736,-5.3276,6.0489,15.1327,15.5973,4.2069,3.9991,0.7318,0.71,8.54,7.4,-10.88,-5.56,31.5507,30.6558,10.69,12.62,,,,58.64,56.23,27.02,23.22,21.01,3.6237,4.3226,1.5248,1.6875,24.3686,2023-07-28,0.6285,104.8821,79.7054,-18.43,1.6179,1.4659,3.9878,69.1631,75.9495,0.7927,3.8617,9.9582,447247.4,6.9032,6.299300000000001,60.9663,11.54,2.8,25.491,13.17,116.5,24.7587
LUMN,21.34888,-28.4519,-67.2414,22.6155,11.375,2022-08-16,1.61,2023-07-18,-84.412,-10.0,0.3834,0.3249,1.9875492,10.4194,10.9417,-13.86,,1.7161,1.52362,1.2489,1.1424,28.4405,11.9638,23.477,1.1285,1.1149,-15.6,,0.7703,,0.0,0.5,3.6116,-8.79,-2.93,-1.5365,-1.6556999999999995,-1.5365,-1.6556999999999995,,,-11.83,,-1.5365,-1.6556999999999995,-1.5365,17.36,56.38,54.98,51.39,1.9339,1.7956,1817.8292,-15.9292,-0.0516,-0.0545,0.2917,0.3446,,-7.34,-8.86,13.67,3.74,2.64,28.04,53.47,38.78,0.5174,0.2422,0.4596,0.8946,,0.8946,0.8946,0.8942,1.0575,1.0575,-4.97,-5.67,18.19,-39.8807,-81.5412,-25.555,-85.5611,0.104,0.1099,14.3556,11.3521,0.5826,0.5513,-6.61,-0.2,-20.06,-14.45,17.3476,16.8383,-9.18,3.51,,,,17.169999999999998,16.91,2.77,4.98,5.42,4.2638,4.937,1.9711,1.8095,-67.2414,2023-07-28,1.0129,1.2645,0.5368,-16.81,47.3976,43.8746,0.8718,0.8942,0.8946,0.9843,0.5074,3.7319,20565.8292,-1.5365,-1.6556999999999995,0.3839,3.76,-0.59,-97.2411,2.01,7.83,85.80997
LVS,5.0178,-6.5374,6.8902,4.31531,65.58,2023-05-01,33.38,2022-10-24,49.6792,4.2165,0.1865,0.2396,0.8871602,5.0798,5.3089,-9.18,,-2.0615,1.24926,8.2605,8.5497,0.0,,,1.7283,1.79,,,0.0,,1.3658869,,2.2293,-42.4,-5.37,2.3979,0.0646999999999999,2.3979,0.0646999999999999,-11.84,-7.52,,-97.17,2.3979,0.0646999999999999,2.3979,,41.08,40.15,37.96,3.5903,3.4445,44773.668,-3.5,0.0516,0.0014,1.0088,-1.3669,15.1,2.49,44.57,12.27,-5.57,-19.27,21.13,111.19,111.19,9.465,10.8253,101.5276,97.5461,,97.5461,97.5461,24.4398,25.3102,172.8713,-15.45,-33.75,16.4,-17.9662,-7.4096,-1.6267,3.0242,10.8938,6.5999,17.5267,22.2611,0.1158,0.1911,-33.12,-20.23,143.25,76.07,5.3796,8.8449,-19.66,8.309999999999999,,,,47.2,62.36000000000001,13.24,9.23,13.54,4.9961,4.5955,4.117,3.9421,21.3439,2023-07-28,1.6858,9.6237,12.5057,-9.81,98.4,115.2157,-1.0563,24.4398,97.5461,1.7504,0.0,0.3796,54230.668,2.3979,0.0646999999999999,2984.9112,11.91,-1.4,36.8501,10.48,42.43,32.66777
LYFT,12.90777,19.9799,-22.4026,17.47234,21.52,2022-08-08,7.85,2023-05-24,-10.2179,4.641,0.8988,0.9152,1.9938197,1.05,1.0103,-33.47951,,-0.9516,-3.94192,4.8542,4.6409,,,,0.8245,0.8125,,,,,,,-4.0753,,,-4.4668,-4.3729000000000005,-4.4668,-4.3729000000000005,,,,,-4.4668,-4.3729000000000005,-4.4668,,27.29,29.68,35.24,2.0666,2.077,4613.098,19.08238,-0.3586,-0.3565,-20.7915,-24.5785,,-52.03,-38.69,-18.75,-53.43,-38.94,-21.66,,,10.2337,9.1751,111.0787,,,,,,,,-52.29,-38.55,-18.49,8.5511,-36.7024,18.1608,-9.8805,1.1265,1.0931,,,0.9267,0.955,4.23,31.04,14.27,21.44,11.5443,11.292,25.51,-33.96479,,,,-183.1931,-33.88341,-64.41183,-86.08219,-87.87091,0.8441,0.8205,2.2499,2.2477,8.4392,2023-07-28,0.5736,12.7296,11.2963,-53.33938,,,-0.7681,,,0.5597,,-4.0779,4962.132,-4.4668,-4.3729000000000005,,,57.14,-23.047,-34.87347,-358.9037,65.58816
MA,2.49039,7.0469,4.8421,2.72599,405.19,2023-07-27,276.87,2022-10-13,14.9241,-0.7522,0.5742,0.6024,1.0461818,6.5879,5.6224,4.89,,10.5628,10.78653,7.749,7.3502,0.5166,38.637,38.3371,1.1718,1.2028,17.38,,1.9659,,0.5665863,2.04,13.7886,12.67,10.88,10.2266,10.0117,10.2266,10.0117,8.79,22.87,-7.92,4.16,10.2266,10.0117,10.2266,14.02,,,,2.1831,2.869,381154.88,1.06534,0.3321,0.3231,16.855,18.8569,7.35,43.97,44.66,41.08,53.46,55.15,54.56,19.16,20.38,53.0848,64.994,33.6353,39.457,38.86836,39.457,39.457,38.3842,37.7456,37.4526,52.78,52.76,49.63,-4.3819,-9.4577,-1.5205,-4.8696,17.1406,16.7041,4.7966,5.0555,0.7437,0.7631,9.62,12.22,11.24,14.69,22.9011,23.8682,14.46,25.64,,,,157.67,159.93,45.94,48.870000000000005,46.69,2.5513,1.3745,2.2266,2.9208,13.4501,2023-07-28,1.1694,137.0759,265.8618,-10.92,,,10.7352,38.3842,39.457,1.201,2.0478,13.5314,390156.88,10.2266,10.0117,34.0469,25.5,21.0,2.095,23.83,124.63,18.378311
MANU,1.21682,4.8095,-5.7388,1.93337,27.34,2023-02-16,10.9,2022-07-29,95.2972,1.8039,0.4508,0.4348,1.0031188,0.782,0.6409,-23.18,,-0.1678,0.6636,0.7434,0.4522,0.6376,,,0.4793,0.3921,7.7,,0.2058,,0.0,0.09502,0.3568,-18.82,,-0.7086,-0.6052,-0.7086,-0.6052,,,,,-0.7086,-0.6052,-0.7086,,,,,4.1595,4.9899,3588.9963,-11.32075,-0.1116,-0.0933,-1.2455,-1.4968,,-9.28,-19.81,-3.26,-1.2,-14.98,-2.75,123.28,154.11,11.0597,26.8879,23.508,569.1399,,569.1399,569.1399,189.894,67.8449,73.4577,-5.17,-25.66,-3.34,-6.6193,-20.0386,-13.7015,-23.9777,6.154,5.9864,6.6136,5.3177,0.5635,0.5792,-2.39,0.07,11.25,7.3,3.5779,3.6767,0.25,1.26,,,,4.55,5.75,6.03,2.04,0.74,0.4119,0.1499,5.0236,6.9689,-5.658,2023-07-28,0.4434,34.3885,81.6945,-25.43,,,-1.0276,189.894,569.1399,0.3591,0.1404,0.4667,4243.5693,-0.7086,-0.6052,37.2415,0.44,-9.35,82.4681,4.27,11.62,57.92645
META,31.29027,50.1855,123.6565,24.67252,325.35,2023-07-27,88.09,2022-11-04,83.8129,5.9301,0.6279,0.6529,1.3941185,48.0922,48.6341,13.45,,7.2854,11.61262,15.5845,14.5904,,40.1356,43.515,2.2034,2.0678,,,,,,,13.1052,9.94,8.75,8.5862,7.834299999999999,8.5862,7.834299999999999,10.13,9.76,-19.22,-40.71,8.5862,7.834299999999999,8.5862,1.73,81.24,79.63,78.29,0.0789,0.0795,765280.7,2.53676,0.3009,0.2781,104.2593,168.4054,-12.68,30.59,19.9,19.93,36.21,24.82,25.23,,,2.5446,4.3582,15.185,35.6874,32.17686,35.6874,35.6874,32.9862,40.1849,43.5685,36.79,24.71,25.51,38.7567,109.3567,7.4377,140.7047,6.5628,6.5216,8.4791,10.4614,1.5122,1.5217,18.15,23.46,2.64,-1.94,43.1566,45.2026,25.7,12.49,,,,18.45,17.14,23.1,17.02,16.1,47.749,48.2642,0.0844,0.085,159.0244,2023-07-28,2.0165,2.5629,4.3916,11.49,,,6.8453,32.9862,35.6874,1.919,,13.8083,764341.7,8.5862,7.834299999999999,15.1616,11.93,36.09,70.9838,18.22,23.45,37.803272
MGM,4.00258,15.3085,28.2714,4.24911,51.03,2023-07-26,29.2,2022-10-03,59.4715,0.9472,0.2873,0.3059,1.5522075,12.7452,13.1784,-0.98,,2.5468,10.43038,15.5951,12.268,0.0162,21.4773,16.7663,1.8058,2.1906,-53.41,,0.0097,,0.0,0.0075,14.5643,15.08,12.18,3.5669,4.736700000000001,3.5669,4.736700000000001,-2.77,1.13,,46.26,3.5669,4.736700000000001,3.5669,23.05,42.54,49.32,48.45,1.5384,1.4136,18222.695,12.97814,0.032,0.0426,3.2108,2.3259,-9.1,4.8,11.22,12.05,13.02,10.96,18.87,0.27,0.14,2.665,3.4225,8.9325,7.1892,14.21915,7.1892,7.1892,12.3704,18.8747,14.7346,4.03,6.88,16.67,3.8797,13.9716,13.179,31.0689,1.3881,1.2881,18.2826,21.0133,0.2854,0.3075,0.58,3.99,35.7,29.94,31.7862,37.4151,11.26,3.22,,,,30.49,49.36,7.96,10.74,19.08,8.6531,8.3964,1.8379,1.4501,49.3886,2023-07-28,1.6487,3.9253,5.3718,-2.37,59.8185,62.2231,3.3676,12.3704,7.1892,1.8494,0.0074,12.2701,20735.374,3.5669,4.736700000000001,10.5302,5.52,-16.32,46.6424,4.12,22.12,33.647827
MRK,7.43129,-7.5901,-2.5114,7.34286,119.65,2023-05-03,84.52,2022-09-21,17.3623,-1.217,0.5431,0.5369,0.11767471,18.1221,18.4571,7.32,,5.7951,6.64084,5.1981,4.0935,2.619,19.9157,26.0078,1.4737,1.444,7.85,,2.7686,,2.725406,2.84,7.1993,13.45,7.77,5.7116,5.1248000000000005,5.7116,5.1248000000000005,14.4,45.66,-34.65,-8.33,5.7116,5.1248000000000005,5.7116,26.4,71.25,70.98,73.1,0.625,0.5994,271860.9,-4.33313,0.2104,0.1888,7.6737,6.6257,32.62,20.34,24.49,19.47,23.37,30.27,29.76,48.3,54.64,6.1165,5.7647,17.3458,20.8642,19.3272,20.8642,20.8642,18.7245,18.4851,24.1397,23.92,27.74,25.2,-17.982,-19.7176,-9.095,-22.5434,4.5858,4.6979,6.3472,5.7174,0.8592,0.8387,8.17,8.12,-8.89,7.21,23.3214,22.7741,9.82,13.3,,,,31.57,28.87,16.09,18.93,17.14,10.1354,10.6315,0.6673,0.6565,-3.434,2023-07-28,1.2299,10.9362,10.008,5.0,2.9005,2.7101,4.4383,18.7245,20.8642,1.1906,2.811,8.3363,292899.9,5.7116,5.1248000000000005,14.2373,12.09,18.37,0.8308,10.51,30.99,18.526161
MSFT,42.28819,20.0784,37.6738,29.13873,366.78,2023-07-18,213.431,2022-11-04,23.0632,-3.7961,0.5434,0.5652,1.19793,22.3127,26.1776,14.42,,8.7284,11.09216,14.035,14.0415,0.7716,39.1348,44.4134,1.7846,1.9126,9.66,,2.4207,,0.8052817,2.6,13.1674,21.11,18.67,9.6469,9.2258,9.6469,9.2258,23.99,24.27,10.42,-3.75,9.6469,9.2258,9.6469,15.73,67.25,68.4,69.49,0.2824,0.2156,2511484.8,0.94849,0.3291,0.3123,310.3817,15.704,6.81,30.06,36.69,34.62,37.27,42.0,42.29,24.93,28.08,11.5337,11.0233,30.0989,36.3878,35.6351,36.3878,36.3878,34.5278,38.5499,43.7495,37.87,42.22,42.89,8.6496,23.374,-4.5746,19.5837,12.667,12.0982,4.818,5.9284,0.8971,0.9393,16.36,15.47,7.08,7.81,26.2958,27.8123,16.35,19.94,,,,43.68,38.46,23.05,31.46,28.34,20.799,24.8493,0.3884,0.3322,37.9034,2023-07-28,1.7453,12.373,11.6126,14.87,19.6457,21.2205,7.719,34.5278,36.3878,1.879,2.5976,12.9589,2549595.8,9.6469,9.2258,28.2078,18.790000000000003,24.06,10.2341,14.62,36.53,28.305183
MSGS,0.10323,-3.8622,7.6421,0.12237,209.8174,2023-05-05,136.61,2022-09-30,22.2662,-0.2501,0.6309,0.7046,0.62688214,110.105,106.4625,,,7.311,3.53143,3.7569,2.728,,27.5997,21.484,0.4683,0.513,,,,,0.0,,5.9353,13.26,21.62,2.0951,3.4833,2.0951,3.4833,63.54,,116.7,14.96,2.0951,3.4833,2.0951,-0.24,41.95,47.39,45.73,0.0,0.1487,4573.76,2.55251,0.1095,0.1804,8.1553,7.4728,,-1.18,6.23,13.69,-6.9,10.48,21.36,,210.203,2.5363,1.9849,20.0056,36.1388,92.04811,36.1388,36.1388,89.4518,25.8224,20.1005,-8.01,9.0,24.76,-14.2541,-9.5641,-0.967,-14.6966,5.5686,4.8879,11.3384,7.0152,1.7588,2.0037,4.04,-9.03,13.31,17.99,33.6552,38.8884,-9.41,3.93,,,,0.44,7.939999999999999,-1.00251,49.68,152.66,105.1261,92.5083,0.0,0.1506,4.4128,2023-07-28,0.4254,2.6565,2.2843,,,,9.5231,89.4518,36.1388,0.467,,3.704,4888.578,2.0951,3.4833,25.6872,9.5,-53.78,5.7347,-0.7615,-1.43977,18.967737
MTCH,3.99692,33.4941,-12.1777,4.88975,77.77,2022-08-02,30.73,2023-05-15,-38.4658,-1.2489,0.7624,0.7705,2.0287836,-1.28699,-1.20158,,,1.7043,1.6549,2.0782,2.0773,0.0,33.1502,43.6116,1.586,1.7216,,,0.0,,,,2.3641,20.36,14.62,1.226,1.0062,1.226,1.0062,-17.94,0.73,-31.84,11.07,1.226,1.0062,1.226,10.74,73.25,69.97,69.51,0.9869,7.0902,12530.734,7.14456,0.1341,0.1119,3.4752,3.6878,-15.48,16.66,11.35,15.35,25.11,16.26,25.19,16.76,,,,14.5939,24.3498,35.96291,24.3498,24.3498,34.6205,26.294,15.677,19.24,11.84,20.62,22.0653,-26.4775,2.4484,-11.5952,3.9296,3.9438,16.7648,14.5265,1.1811,1.1768,15.84,19.1,-1.44,2.02,10.8018,11.3777,19.17,8.649999999999999,,,,14.72,49.14,13.75,10.41,14.760000000000002,-10.96463,-10.74568,0.9869,7.0902,6.7245,2023-07-28,1.505,,,,,,1.3012,34.6205,24.3498,1.7216,0.0,3.1428,15798.177,1.226,1.0062,23.8368,11.87,11.27,-51.2949,10.81,132.06,45.335777
MTN,0.28026,-3.8302,-7.6801,0.36554,269.5,2022-12-13,201.91,2022-09-27,-1.1125,-3.6585,0.3998,0.4553,0.95111924,40.0327,33.0424,0.43,,12.8527,14.25578,27.4946,23.2424,3.4303,21.3629,29.7159,1.6128,1.5029,7.87,,5.5978,,3.4862075,7.79,20.6506,8.49,6.18,8.5512,7.2471,8.5512,7.2471,5.36,10.41,-10.67,-5.86,8.5512,7.2471,8.5512,9.65,43.96,48.78,57.38,1.6561,2.1773,9112.545,-4.34938,0.0504,0.0417,4.2549,4.1623,4.52,11.53,13.77,26.24,18.03,23.82,40.42,64.9,26.06,5.924,7.7117,10.2557,10.0554,28.16093,10.0554,10.0554,26.1913,17.6026,15.3335,13.01,18.1,37.75,-15.259,-21.9799,-10.218,-20.9838,3.6076,3.1567,6.9314,9.3315,0.3661,0.4184,3.6,5.78,5.25,17.2,62.0815,72.6697,5.63,5.510000000000001,,,,21.58,59.540000000000006,7.31,8.0,20.880000000000003,32.2355,25.0921,1.6956,2.2315,-2.6641,2023-07-28,1.5149,7.3569,10.1552,0.35,13.6891,16.6469,9.6531,26.1913,10.0554,1.3979,7.9174,20.9924,11059.173,8.5512,7.2471,12.8256,14.19,5.95,-13.9416,5.12,16.21,25.523079
NFLX,11.53661,28.0949,20.6336,7.27965,485.0,2023-07-19,211.73,2022-10-13,82.2139,-3.352,0.6506,0.6648,1.5403736,46.6544,49.1032,41.34,,3.6343,41.42661,13.6039,17.6082,,120.4968,45.78,1.1684,1.2605,,,,,,,13.3106,45.68,32.16,9.9535,9.4063,9.9535,9.4063,34.07,51.42,2.92,-16.35,9.9535,9.4063,9.9535,,39.89,39.37,42.92,0.6908,0.6431,187304.84,-2.94899,0.3509,0.3317,4.4244,15.2692,24.35,11.88,14.21,18.17,16.02,17.82,22.32,,,6.3159,7.0358,40.5453,44.1106,46.79332,44.1106,44.1106,41.6981,115.7254,43.9673,13.42,16.65,20.51,16.6661,6.3338,-6.8014,21.7949,5.9245,5.8302,35.2612,34.4936,2.47,2.5099,16.19,22.01,2.72,3.53,70.056,71.1436,21.78,9.24,,,,21.62,20.43,11.08,12.79,12.07,0.2954,0.212,0.6908,0.6614,40.1146,2023-07-28,1.1189,84.2352,160.1026,-8.51,,,6.5992,41.6981,44.1106,1.2021,,13.2277,195027.374,9.9535,9.4063,92.4388,8.75,12.43,69.3848,7.58,25.32,38.068638
NKE,6.36254,-13.6291,-14.966,7.4315,131.31,2023-02-02,82.22,2022-10-03,-0.1762,-1.2745,1.3647,1.3086,1.2105231,9.141,9.141,8.32,,3.1802,3.79615,6.968,6.968,1.2031,34.6324,34.6324,2.7228,2.7228,11.1,,1.2968,,1.2631189,1.29,4.3943,5.87,3.02,3.2297,3.2272,3.2297,3.2272,26.52,22.62,-26.52,-13.99,3.2297,3.2272,3.2297,4.41,44.5,43.52,43.63,0.6375,0.6375,167237.12,-1.18692,0.0641,0.0641,54.459,33.4439,13.27,10.56,9.9,8.04,12.15,11.55,9.52,39.68,39.68,11.5527,11.5527,28.6316,32.9856,33.76774,32.9856,32.9856,32.9856,34.3262,34.3262,12.26,12.11,9.72,-25.0579,-29.2658,-8.3101,-26.3019,3.2653,3.2653,11.6429,11.6429,0.6475,0.6475,11.05,7.07,4.83,9.65,32.6264,32.9158,8.26,13.51,,,,36.2,34.01,23.78,22.1,20.94,8.9621,8.9621,0.6379,0.6379,-7.9822,2023-07-28,1.5996,11.7832,11.7832,7.58,3.4284,3.4284,3.1802,32.9856,32.9856,1.5996,1.2968,4.3942,168729.12,3.2297,3.2272,28.6316,12.95,-1.18,-13.0053,13.75,39.34,26.600285
NVDA,53.33282,74.9171,157.3014,47.21786,480.88,2023-07-14,108.13,2022-10-13,158.0101,3.5907,0.655,0.6103,1.7227675,8.9623,9.9151,23.8,,1.5442,2.55941,5.3917,6.1949,0.035,299.266,223.4082,3.5156,3.4274,2.26,,0.1601,,0.03485839,0.16,2.4436,11.29,13.19,1.7423,1.9242,1.7423,1.9242,15.49,7.65,28.65,-48.37,1.7423,1.9242,1.7423,5.53,62.0,59.51,64.63,0.439,0.3958,1133730.0,4.74446,0.1667,0.183,29.0975,75.6607,-12.39,27.87,16.19,28.41,27.74,15.66,29.76,9.11,8.28,21.3287,29.1591,166.2117,236.5387,254.3103,236.5387,236.5387,259.5536,297.7232,171.5433,27.87,15.5,30.71,63.4883,143.0016,9.1571,195.7627,42.0305,43.8106,6.364,5.4377,1.0297,0.9879,35.19,22.66,-13.22,-12.4,10.7595,10.3928,22.87,10.61,,,,19.76,20.880000000000003,22.72,13.21,14.14,8.2826,9.292,0.4956,0.4467,214.0824,2023-07-28,2.609,23.0788,31.1146,22.45,2.8132,2.9084,2.0627,259.5536,236.5387,2.6722,0.1595,2.3059,1139605.0,1.7423,1.9242,200.9803,11.3,25.32,145.181,19.01,29.86,60.403904
NWSA,2.03303,14.0237,0.0519,2.33004,21.69,2023-02-02,14.87,2022-09-29,13.0205,-1.9338,0.603,0.5994,1.3011991,14.0698,14.0574,-5.4,,1.4631,1.83297,3.1179,2.8874,1.5942,14.539,26.9065,1.1631,1.2584,2.63,,0.2978,,1.0378827,0.2,2.1772,84.69,,1.0515,0.4583999999999999,1.0515,0.4583999999999999,58.59,,-37.55,-45.41,1.0515,0.4583999999999999,1.0515,29.15,47.02,51.12,47.45,0.3376,0.3665,11102.8125,0.76923,0.0244,0.0105,7.18797,2.91324,,-3.96,6.0,2.04,-1.82,7.82,3.72,28.09,66.29,1.1174,1.2346,6.8325,41.5836,18.68794,41.5836,41.5836,17.8215,12.9857,10.1861,-2.57,7.82,3.72,2.5949,-14.2479,-4.6136,-12.4406,1.0691,1.0971,6.9233,6.5885,0.4073,0.3969,1.02,4.99,-1.81,-0.81,17.5274,17.5117,4.58,3.62,,,,7.580000000000001,3.31,2.68,5.52,2.41,9.4991,9.6332,0.3733,0.3698,5.8791,2023-07-28,1.0747,1.655,1.8016,-8.23,18.0,15.6867,0.8041,17.8215,41.5836,1.1473,0.3047,2.7561,12430.8125,1.0515,0.4583999999999999,8.2,1.58,14.28,0.1914,1.84,3.33,28.59319
PARA,11.61472,-31.543,-25.9113,13.6544,27.4899,2022-08-16,13.8,2023-05-25,-38.6873,-3.0928,0.5164,0.5251,1.9418384,35.44,33.5653,46.99184,,-0.2138,-0.19538,4.4385,3.2396,6.8295,70.06085,,1.2272,1.1206,10.06423,,1.0616,,1.3297873,0.96,0.9446,-13.91,-26.96326,1.6985,-0.6850000000000002,1.6985,-0.6850000000000002,-31.83,-21.12,,,1.6985,-0.6850000000000002,1.6985,,39.78,34.19,8.63,0.6775,0.7145,10205.779,-2.45129,0.0451,-0.0182,0.2351,2.4225,-22.48,10.69,3.66,-15.39,15.9,7.37,-16.88,62.41,62.41,0.4805,0.6717,15.4868,9.2444,15.12449,9.2444,9.2444,9.2444,17.038,23.195,12.49,4.2,-20.14,-42.9718,-40.2111,-9.2235,-29.2202,0.3385,0.3392,4.1892,4.091,1.2308,1.2282,3.75,2.68,-0.86,5.58,46.3908,46.2227,1.74,1.89,,,,4.79,4.8500000000000005,8.09,2.8400000000000003,2.8400000000000003,31.2954,29.4363,0.6879,0.7255,-10.9005,2023-07-28,0.9904,0.5442,0.766,,13.9459,21.314,-1.4332,9.2444,9.2444,0.9038,1.0723,3.94,23949.779,1.6985,-0.6850000000000002,46.6017,1.91,0.34,-51.5164,5.49,16.84,71.203476
PENN,3.35769,-11.9635,-17.9786,2.7727,39.35,2022-11-15,22.96,2023-06-26,-20.6035,-2.7259,0.3658,0.3723,1.634649,23.5292,27.0947,19.35,,3.962,7.16956,10.6211,8.5074,0.0,16.5778,18.913,1.7376,1.3795,,,0.0,,,,11.4543,16.27,30.89,1.2576,4.0331,1.2576,4.0331,49.99,-24.33,987.14,85.46,1.2576,4.0331,1.2576,10.04,45.21,43.27,41.8,0.7564,0.6516,4014.707,9.82106,0.0102,0.0313,2.142,1.2448,-25.42,-0.93,3.47,30.75,9.87,15.05,16.88,136.36,,1.2805,1.119,5.0121,5.8617,21.06902,5.8617,5.8617,18.0761,6.6271,7.5607,-1.46,2.74,40.78,-22.3554,-35.1848,5.2105,-31.399,0.6271,0.6166,29.0063,33.9901,0.2926,0.2976,6.49,15.25,6.97,5.11,36.2497,38.6168,1.47,1.27,,,,6.17,18.07,3.33,1.44,4.71,12.1567,12.6543,3.2971,1.7574,-12.2896,2023-07-28,1.6461,2.4785,2.3959,3.71,,,3.445,18.0761,5.8617,1.2548,0.0,8.2616,10042.807,1.2576,4.0331,4.5715,3.92,21.61,-37.135,2.79,8.2,49.21594
