symbol,share,change,transactionDate,transactionCode,transactionPrice,name,filingDate,id
AMC,10000,-10000,2023-04-14,S,0.36,Gulati Himanshu,2023-04-18,0001140361-23-018962
AMC,158170143,-2918400,2023-04-14,S,1.66,Gulati Himanshu,2023-04-18,0001140361-23-018962
AMC,161088543,-8385,2023-04-05,S,1.7,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,161096928,-1000000,2023-04-05,S,1.68,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,24000,14000,2023-04-04,P,0.72,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,9415,9415,2023-04-04,P,1.13,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,14000,14000,2023-04-04,P,0.54,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,7540,7540,2023-04-04,P,1.5,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,5045,5045,2023-04-04,P,2.22,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,0,-50000,2023-04-04,S,3.72,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,162096928,-1000000,2023-04-04,S,1.6,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,163096928,-2000000,2023-04-04,S,1.61,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,165096928,-1000000,2023-04-04,S,1.8,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,166096928,-3000000,2023-04-04,S,1.67,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,169096928,-1000000,2023-04-04,S,1.64,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,170096928,-2000000,2023-04-04,S,1.7,Gulati Himanshu,2023-04-06,0001140361-23-017100
AMC,400000,-400000,2023-04-03,S,0.0,Gulati Himanshu,2023-04-05,0001140361-23-016838
AMC,0,-750000,2023-04-03,S,3.95,Gulati Himanshu,2023-04-05,0001140361-23-016838
AMC,172096928,-2500000,2023-04-03,S,1.79,Gulati Himanshu,2023-04-05,0001140361-23-016838
AMC,174596928,-4635000,2023-04-03,S,1.77,Gulati Himanshu,2023-04-05,0001140361-23-016838
AMC,10000,7478,2023-03-31,P,0.19,Gulati Himanshu,2023-04-03,0001140361-23-015739
AMC,161132,7478,2023-03-31,P,0.07,Gulati Himanshu,2023-04-03,0001140361-23-015739
AMC,2522,2522,2023-03-31,P,0.19,Gulati Himanshu,2023-04-03,0001140361-23-015739
AMC,153654,2522,2023-03-31,P,0.07,Gulati Himanshu,2023-04-03,0001140361-23-015739
AMC,151132,4120,2023-03-31,P,0.08,Gulati Himanshu,2023-04-03,0001140361-23-015739
AMC,89180,89180,2023-03-31,P,0.17,Gulati Himanshu,2023-04-03,0001140361-23-015739
AMC,1250,1250,2023-03-31,P,0.07,Gulati Himanshu,2023-04-03,0001140361-23-015739
AMC,11500,11500,2023-03-31,P,0.13,Gulati Himanshu,2023-04-03,0001140361-23-015739
AMC,65558,65588,2023-03-31,P,0.39,Gulati Himanshu,2023-04-03,0001140361-23-015739
AMC,147012,12215,2023-03-31,P,0.08,Gulati Himanshu,2023-04-03,0001140361-23-015739
AMC,0,-25000,2023-03-17,E,0.0,Gulati Himanshu,2023-03-20,0001140361-23-012651
AMC,134797,20000,2023-03-16,P,0.11,Gulati Himanshu,2023-03-16,0001140361-23-012152
AMC,10000,10000,2023-03-16,P,0.34,Gulati Himanshu,2023-03-16,0001140361-23-012152
AMC,179231928,-48000579,2023-03-15,S,1.51,Gulati Himanshu,2023-03-15,0001140361-23-011902
AMC,0,-8774,2023-03-08,S,2.59,Gulati Himanshu,2023-03-10,0001140361-23-011245
AMC,0,-500000,2023-03-08,S,6.0,Gulati Himanshu,2023-03-10,0001140361-23-011245
AMC,0,-15000,2023-03-06,S,0.86,Gulati Himanshu,2023-03-08,0001140361-23-010690
AMC,0,-25000,2023-03-06,S,0.4,Gulati Himanshu,2023-03-08,0001140361-23-010690
AMC,0,-10000,2023-03-06,S,0.37,Gulati Himanshu,2023-03-08,0001140361-23-010690
AMC,525581,474419,2023-03-06,P,6.48,Gulati Himanshu,2023-03-08,0001140361-23-010690
AMC,0,500000,2023-03-06,P,6.48,Gulati Himanshu,2023-03-08,0001140361-23-010690
