symbol,year,month,change,mspr
AMD,2019,3,-50000,-100.0
AMD,2019,2,-50000,-100.0
AMD,2018,12,136142,17.514505
AMD,2018,12,-320584,-25.978497
AMD,2018,11,-191213,-52.05639
AMD,2018,11,-369321,-67.71227
AMD,2018,10,-150000,-66.666664
AMD,2018,10,-187500,-71.42857
AMD,2018,9,-200000,-47.058823
AMD,2018,9,-275000,-55.0
AMD,2018,8,2284708,28.387468
AMD,2018,8,-1316212,-8.905128
AMD,2018,7,-22025000,-97.71517
AMD,2018,7,-22282500,-97.74098
AMD,2018,6,15301,3.9908607
AMD,2018,6,-852079,-36.88518
AMD,2018,5,-131522,-8.320628
AMD,2018,4,13653,100.0
AMD,2018,4,-65868,-29.565592
AMD,2018,2,127282,57.585327
AMD,2018,1,143908,48.9483
AMD,2017,12,-585898,-32.115543
AMD,2017,11,-802950,-43.425705
AMD,2017,10,-88765,-16.987965
AMD,2017,9,-120000,-17.266188
AMD,2017,9,-407500,-41.475826
AMD,2017,8,-39028374,-87.94594
AMD,2017,8,-39934238,-81.79708
AMD,2017,7,-57500,-53.488373
AMD,2017,7,-82500,-62.264153
AMD,2017,6,-436696,-30.006252
AMD,2017,5,-345543,-44.653316
AMD,2017,4,-26498,-7.967646
AMD,2017,3,-45150000,-99.88938
AMD,2017,3,-45387368,-99.45897
AMD,2017,2,-20000,-10.596026
AMD,2017,2,-361776,-37.273594
AMD,2017,1,152750,34.437435
AMD,2017,1,-243509,-21.094006
AMD,2016,12,159501,18.678135
AMD,2016,12,-347222,-25.518496
AMD,2016,11,2133075,33.022667
AMD,2016,11,-2485176,-22.413855
AMD,2016,10,121630,27.771435
AMD,2016,10,-158169,-22.03626
AMD,2016,8,69100,100.0
AMD,2016,8,74897701,98.37766
AMD,2016,7,4308143,100.0
AMD,2016,6,-202657,-17.38493
AMD,2016,5,469269,48.83178
AMD,2016,4,-44836,-4.6986675
AMD,2016,2,-72412,-14.419358
AMD,2015,12,4593438,86.898384
AMD,2015,11,404748,39.442894
AMD,2015,10,0,0.0
AMD,2015,8,2612343,73.323555
AMD,2015,6,-43850,-15.499629
AMD,2015,5,218278,81.34806
AMD,2015,4,62639,83.62236
AMD,2015,3,69269,100.0
AMD,2015,2,141840,50.344288
AMD,2015,1,199890,50.780415
AMD,2014,11,948276,76.96683
AMD,2014,10,4247575,100.0
AMD,2014,9,44589,100.0
AMD,2014,8,2471753,76.93735
AMD,2014,5,640688,83.428345
AMD,2014,5,376629,19.69272
AMD,2014,4,44861,100.0
AMD,2014,3,34906166,100.0
AMD,2014,3,44704,0.0638221
AMD,2014,2,195845,65.00453
AMD,2014,2,-52717,-9.587681
AMD,2014,1,279323,53.047665
AMD,2014,1,-123614,-13.2991495
AMD,2013,11,4260,7.6207514
AMD,2013,11,4260,3.6705153
AMD,2013,8,-152977,-14.22215
AMD,2013,7,4957923,100.0
AMD,2013,5,281153,100.0
AMD,2013,5,601812,30.665924
AMD,2013,4,-1000,-100.0
AMD,2013,3,-1000,-100.0
AMD,2013,2,-1000,-100.0
AMD,2013,2,124319,26.156616
AMD,2013,1,-1000,-100.0
AMD,2013,1,1860853,99.524216
AMD,2012,12,-1000,-100.0
AMD,2012,11,122662,63.522526
AMD,2012,11,42861,12.8688135
AMD,2012,10,-4000,-100.0
AMD,2012,9,16670,100.0
AMD,2012,9,0,0.0
AMD,2012,8,262198,45.78662
AMD,2012,8,190329,14.250097
AMD,2012,6,3531897,100.0
